Instructions for case number 1:
1: Number 1 cannot be at (0,0); reason: discovered number 8 in its place; possiblities left: [8].
42: Number 3 cannot be at (1,7); reason: discovered the number 3 at the same row at position (1,2); possiblities left: [7].
43: Number 3 cannot be at (1,8); reason: discovered the number 3 at the same row at position (1,2); possiblities left: [5].
44: Number 3 cannot be at (0,2); reason: discovered the number 3 at the same column at position (1,2); possiblities left: [2].
45: Number 3 cannot be at (2,2); reason: discovered the number 3 at the same column at position (1,2); possiblities left: [5].
46: Number 3 cannot be at (3,2); reason: discovered the number 3 at the same column at position (1,2); possiblities left: [4].
47: Number 3 cannot be at (4,2); reason: discovered the number 3 at the same column at position (1,2); possiblities left: [9].
48: Number 3 cannot be at (5,2); reason: discovered the number 3 at the same column at position (1,2); possiblities left: [7].
49: Number 3 cannot be at (6,2); reason: discovered the number 3 at the same column at position (1,2); possiblities left: [1].
50: Number 3 cannot be at (7,2); reason: discovered the number 3 at the same column at position (1,2); possiblities left: [8].
51: Number 3 cannot be at (8,2); reason: discovered the number 3 at the same column at position (1,2); possiblities left: [6].
52: Number 3 cannot be at (0,1); reason: discovered the number 3 at the same quadrant at position (1,2); possiblities left: [1].
53: Number 3 cannot be at (2,0); reason: discovered the number 3 at the same quadrant at position (1,2); possiblities left: [6].
54: Number 3 cannot be at (2,1); reason: discovered the number 3 at the same quadrant at position (1,2); possiblities left: [7].
55: Number 1 cannot be at (1,3); reason: discovered number 6 in its place; possiblities left: [6].
56: Number 2 cannot be at (1,3); reason: discovered number 6 in its place; possiblities left: [6].
57: Number 4 cannot be at (1,3); reason: discovered number 6 in its place; possiblities left: [6].
58: Number 5 cannot be at (1,3); reason: discovered number 6 in its place; possiblities left: [6].
59: Number 7 cannot be at (1,3); reason: discovered number 6 in its place; possiblities left: [6].
60: Number 8 cannot be at (1,3); reason: discovered number 6 in its place; possiblities left: [6].
61: Number 9 cannot be at (1,3); reason: discovered number 6 in its place; possiblities left: [6].
62: Number 6 cannot be at (1,0); reason: discovered the number 6 at the same row at position (1,3); possiblities left: [9].
63: Number 6 cannot be at (1,1); reason: discovered the number 6 at the same row at position (1,3); possiblities left: [4].
64: Number 6 cannot be at (1,4); reason: discovered the number 6 at the same row at position (1,3); possiblities left: [8].
65: Number 6 cannot be at (1,5); reason: discovered the number 6 at the same row at position (1,3); possiblities left: [2].
66: Number 6 cannot be at (1,6); reason: discovered the number 6 at the same row at position (1,3); possiblities left: [1].
67: Number 6 cannot be at (1,7); reason: discovered the number 6 at the same row at position (1,3); possiblities left: [7].
68: Number 6 cannot be at (1,8); reason: discovered the number 6 at the same row at position (1,3); possiblities left: [5].
69: Number 6 cannot be at (0,3); reason: discovered the number 6 at the same column at position (1,3); possiblities left: [7].
70: Number 6 cannot be at (2,3); reason: discovered the number 6 at the same column at position (1,3); possiblities left: [4].
71: Number 6 cannot be at (3,3); reason: discovered the number 6 at the same column at position (1,3); possiblities left: [2].
72: Number 6 cannot be at (4,3); reason: discovered the number 6 at the same column at position (1,3); possiblities left: [8].
73: Number 6 cannot be at (5,3); reason: discovered the number 6 at the same column at position (1,3); possiblities left: [1].
74: Number 6 cannot be at (6,3); reason: discovered the number 6 at the same column at position (1,3); possiblities left: [9].
75: Number 6 cannot be at (7,3); reason: discovered the number 6 at the same column at position (1,3); possiblities left: [5].
76: Number 6 cannot be at (8,3); reason: discovered the number 6 at the same column at position (1,3); possiblities left: [3].
77: Number 6 cannot be at (0,4); reason: discovered the number 6 at the same quadrant at position (1,3); possiblities left: [5].
78: Number 6 cannot be at (0,5); reason: discovered the number 6 at the same quadrant at position (1,3); possiblities left: [3].
79: Number 6 cannot be at (2,4); reason: discovered the number 6 at the same quadrant at position (1,3); possiblities left: [9].
80: Number 6 cannot be at (2,5); reason: discovered the number 6 at the same quadrant at position (1,3); possiblities left: [1].
81: Number 1 cannot be at (2,1); reason: discovered number 7 in its place; possiblities left: [7].
82: Number 2 cannot be at (2,1); reason: discovered number 7 in its place; possiblities left: [7].
83: Number 4 cannot be at (2,1); reason: discovered number 7 in its place; possiblities left: [7].
84: Number 5 cannot be at (2,1); reason: discovered number 7 in its place; possiblities left: [7].
85: Number 6 cannot be at (2,1); reason: discovered number 7 in its place; possiblities left: [7].
86: Number 9 cannot be at (2,1); reason: discovered number 7 in its place; possiblities left: [7].
87: Number 7 cannot be at (2,0); reason: discovered the number 7 at the same row at position (2,1); possiblities left: [6].
88: Number 7 cannot be at (2,2); reason: discovered the number 7 at the same row at position (2,1); possiblities left: [5].
89: Number 7 cannot be at (2,3); reason: discovered the number 7 at the same row at position (2,1); possiblities left: [4].
90: Number 7 cannot be at (2,4); reason: discovered the number 7 at the same row at position (2,1); possiblities left: [9].
91: Number 7 cannot be at (2,5); reason: discovered the number 7 at the same row at position (2,1); possiblities left: [1].
92: Number 7 cannot be at (2,6); reason: discovered the number 7 at the same row at position (2,1); possiblities left: [2].
93: Number 7 cannot be at (2,7); reason: discovered the number 7 at the same row at position (2,1); possiblities left: [8].
94: Number 7 cannot be at (2,8); reason: discovered the number 7 at the same row at position (2,1); possiblities left: [3].
95: Number 7 cannot be at (0,1); reason: discovered the number 7 at the same column at position (2,1); possiblities left: [1].
96: Number 7 cannot be at (1,1); reason: discovered the number 7 at the same column at position (2,1); possiblities left: [4].
97: Number 7 cannot be at (3,1); reason: discovered the number 7 at the same column at position (2,1); possiblities left: [5].
98: Number 7 cannot be at (4,1); reason: discovered the number 7 at the same column at position (2,1); possiblities left: [6].
99: Number 7 cannot be at (5,1); reason: discovered the number 7 at the same column at position (2,1); possiblities left: [8].
100: Number 7 cannot be at (6,1); reason: discovered the number 7 at the same column at position (2,1); possiblities left: [2].
101: Number 7 cannot be at (7,1); reason: discovered the number 7 at the same column at position (2,1); possiblities left: [3].
102: Number 7 cannot be at (8,1); reason: discovered the number 7 at the same column at position (2,1); possiblities left: [9].
103: Number 7 cannot be at (0,2); reason: discovered the number 7 at the same quadrant at position (2,1); possiblities left: [2].
104: Number 7 cannot be at (1,0); reason: discovered the number 7 at the same quadrant at position (2,1); possiblities left: [9].
105: Number 1 cannot be at (2,4); reason: discovered number 9 in its place; possiblities left: [9].
106: Number 2 cannot be at (2,4); reason: discovered number 9 in its place; possiblities left: [9].
107: Number 3 cannot be at (2,4); reason: discovered number 9 in its place; possiblities left: [9].
108: Number 4 cannot be at (2,4); reason: discovered number 9 in its place; possiblities left: [9].
109: Number 5 cannot be at (2,4); reason: discovered number 9 in its place; possiblities left: [9].
110: Number 8 cannot be at (2,4); reason: discovered number 9 in its place; possiblities left: [9].
111: Number 9 cannot be at (2,0); reason: discovered the number 9 at the same row at position (2,4); possiblities left: [6].
112: Number 9 cannot be at (2,2); reason: discovered the number 9 at the same row at position (2,4); possiblities left: [5].
113: Number 9 cannot be at (2,3); reason: discovered the number 9 at the same row at position (2,4); possiblities left: [4].
114: Number 9 cannot be at (2,5); reason: discovered the number 9 at the same row at position (2,4); possiblities left: [1].
115: Number 9 cannot be at (2,6); reason: discovered the number 9 at the same row at position (2,4); possiblities left: [2].
116: Number 9 cannot be at (2,7); reason: discovered the number 9 at the same row at position (2,4); possiblities left: [8].
117: Number 9 cannot be at (2,8); reason: discovered the number 9 at the same row at position (2,4); possiblities left: [3].
118: Number 9 cannot be at (0,4); reason: discovered the number 9 at the same column at position (2,4); possiblities left: [5].
119: Number 9 cannot be at (1,4); reason: discovered the number 9 at the same column at position (2,4); possiblities left: [8].
120: Number 9 cannot be at (3,4); reason: discovered the number 9 at the same column at position (2,4); possiblities left: [3].
121: Number 9 cannot be at (4,4); reason: discovered the number 9 at the same column at position (2,4); possiblities left: [4].
122: Number 9 cannot be at (5,4); reason: discovered the number 9 at the same column at position (2,4); possiblities left: [6].
123: Number 9 cannot be at (6,4); reason: discovered the number 9 at the same column at position (2,4); possiblities left: [7].
124: Number 9 cannot be at (7,4); reason: discovered the number 9 at the same column at position (2,4); possiblities left: [2].
125: Number 9 cannot be at (8,4); reason: discovered the number 9 at the same column at position (2,4); possiblities left: [1].
126: Number 9 cannot be at (0,3); reason: discovered the number 9 at the same quadrant at position (2,4); possiblities left: [7].
127: Number 9 cannot be at (0,5); reason: discovered the number 9 at the same quadrant at position (2,4); possiblities left: [3].
128: Number 9 cannot be at (1,5); reason: discovered the number 9 at the same quadrant at position (2,4); possiblities left: [2].
129: Number 1 cannot be at (2,6); reason: discovered number 2 in its place; possiblities left: [2].
130: Number 3 cannot be at (2,6); reason: discovered number 2 in its place; possiblities left: [2].
131: Number 4 cannot be at (2,6); reason: discovered number 2 in its place; possiblities left: [2].
132: Number 5 cannot be at (2,6); reason: discovered number 2 in its place; possiblities left: [2].
133: Number 6 cannot be at (2,6); reason: discovered number 2 in its place; possiblities left: [2].
134: Number 8 cannot be at (2,6); reason: discovered number 2 in its place; possiblities left: [2].
135: Number 2 cannot be at (2,0); reason: discovered the number 2 at the same row at position (2,6); possiblities left: [6].
136: Number 2 cannot be at (2,2); reason: discovered the number 2 at the same row at position (2,6); possiblities left: [5].
137: Number 2 cannot be at (2,3); reason: discovered the number 2 at the same row at position (2,6); possiblities left: [4].
138: Number 2 cannot be at (2,5); reason: discovered the number 2 at the same row at position (2,6); possiblities left: [1].
139: Number 2 cannot be at (2,7); reason: discovered the number 2 at the same row at position (2,6); possiblities left: [8].
140: Number 2 cannot be at (2,8); reason: discovered the number 2 at the same row at position (2,6); possiblities left: [3].
141: Number 2 cannot be at (0,6); reason: discovered the number 2 at the same column at position (2,6); possiblities left: [6].
142: Number 2 cannot be at (1,6); reason: discovered the number 2 at the same column at position (2,6); possiblities left: [1].
143: Number 2 cannot be at (3,6); reason: discovered the number 2 at the same column at position (2,6); possiblities left: [8].
144: Number 2 cannot be at (4,6); reason: discovered the number 2 at the same column at position (2,6); possiblities left: [7].
145: Number 2 cannot be at (5,6); reason: discovered the number 2 at the same column at position (2,6); possiblities left: [5].
146: Number 2 cannot be at (6,6); reason: discovered the number 2 at the same column at position (2,6); possiblities left: [3].
147: Number 2 cannot be at (7,6); reason: discovered the number 2 at the same column at position (2,6); possiblities left: [9].
148: Number 2 cannot be at (8,6); reason: discovered the number 2 at the same column at position (2,6); possiblities left: [4].
149: Number 2 cannot be at (0,7); reason: discovered the number 2 at the same quadrant at position (2,6); possiblities left: [4].
150: Number 2 cannot be at (0,8); reason: discovered the number 2 at the same quadrant at position (2,6); possiblities left: [9].
151: Number 2 cannot be at (1,7); reason: discovered the number 2 at the same quadrant at position (2,6); possiblities left: [7].
152: Number 2 cannot be at (1,8); reason: discovered the number 2 at the same quadrant at position (2,6); possiblities left: [5].
153: Number 1 cannot be at (3,1); reason: discovered number 5 in its place; possiblities left: [5].
154: Number 2 cannot be at (3,1); reason: discovered number 5 in its place; possiblities left: [5].
155: Number 3 cannot be at (3,1); reason: discovered number 5 in its place; possiblities left: [5].
156: Number 4 cannot be at (3,1); reason: discovered number 5 in its place; possiblities left: [5].
157: Number 6 cannot be at (3,1); reason: discovered number 5 in its place; possiblities left: [5].
158: Number 8 cannot be at (3,1); reason: discovered number 5 in its place; possiblities left: [5].
159: Number 9 cannot be at (3,1); reason: discovered number 5 in its place; possiblities left: [5].
160: Number 5 cannot be at (3,0); reason: discovered the number 5 at the same row at position (3,1); possiblities left: [1].
161: Number 5 cannot be at (3,2); reason: discovered the number 5 at the same row at position (3,1); possiblities left: [4].
162: Number 5 cannot be at (3,3); reason: discovered the number 5 at the same row at position (3,1); possiblities left: [2].
163: Number 5 cannot be at (3,4); reason: discovered the number 5 at the same row at position (3,1); possiblities left: [3].
164: Number 5 cannot be at (3,5); reason: discovered the number 5 at the same row at position (3,1); possiblities left: [7].
165: Number 5 cannot be at (3,6); reason: discovered the number 5 at the same row at position (3,1); possiblities left: [8].
166: Number 5 cannot be at (3,7); reason: discovered the number 5 at the same row at position (3,1); possiblities left: [9].
167: Number 5 cannot be at (3,8); reason: discovered the number 5 at the same row at position (3,1); possiblities left: [6].
168: Number 5 cannot be at (0,1); reason: discovered the number 5 at the same column at position (3,1); possiblities left: [1].
169: Number 5 cannot be at (1,1); reason: discovered the number 5 at the same column at position (3,1); possiblities left: [4].
170: Number 5 cannot be at (4,1); reason: discovered the number 5 at the same column at position (3,1); possiblities left: [6].
171: Number 5 cannot be at (5,1); reason: discovered the number 5 at the same column at position (3,1); possiblities left: [8].
172: Number 5 cannot be at (6,1); reason: discovered the number 5 at the same column at position (3,1); possiblities left: [2].
173: Number 5 cannot be at (7,1); reason: discovered the number 5 at the same column at position (3,1); possiblities left: [3].
174: Number 5 cannot be at (8,1); reason: discovered the number 5 at the same column at position (3,1); possiblities left: [9].
175: Number 5 cannot be at (4,0); reason: discovered the number 5 at the same quadrant at position (3,1); possiblities left: [3].
176: Number 5 cannot be at (4,2); reason: discovered the number 5 at the same quadrant at position (3,1); possiblities left: [9].
177: Number 5 cannot be at (5,0); reason: discovered the number 5 at the same quadrant at position (3,1); possiblities left: [2].
178: Number 5 cannot be at (5,2); reason: discovered the number 5 at the same quadrant at position (3,1); possiblities left: [7].
179: Number 1 cannot be at (3,5); reason: discovered number 7 in its place; possiblities left: [7].
180: Number 2 cannot be at (3,5); reason: discovered number 7 in its place; possiblities left: [7].
181: Number 3 cannot be at (3,5); reason: discovered number 7 in its place; possiblities left: [7].
182: Number 4 cannot be at (3,5); reason: discovered number 7 in its place; possiblities left: [7].
183: Number 6 cannot be at (3,5); reason: discovered number 7 in its place; possiblities left: [7].
184: Number 8 cannot be at (3,5); reason: discovered number 7 in its place; possiblities left: [7].
185: Number 9 cannot be at (3,5); reason: discovered number 7 in its place; possiblities left: [7].
186: Number 7 cannot be at (3,0); reason: discovered the number 7 at the same row at position (3,5); possiblities left: [1].
187: Number 7 cannot be at (3,2); reason: discovered the number 7 at the same row at position (3,5); possiblities left: [4].
188: Number 7 cannot be at (3,3); reason: discovered the number 7 at the same row at position (3,5); possiblities left: [2].
189: Number 7 cannot be at (3,4); reason: discovered the number 7 at the same row at position (3,5); possiblities left: [3].
190: Number 7 cannot be at (3,6); reason: discovered the number 7 at the same row at position (3,5); possiblities left: [8].
191: Number 7 cannot be at (3,7); reason: discovered the number 7 at the same row at position (3,5); possiblities left: [9].
192: Number 7 cannot be at (3,8); reason: discovered the number 7 at the same row at position (3,5); possiblities left: [6].
193: Number 7 cannot be at (0,5); reason: discovered the number 7 at the same column at position (3,5); possiblities left: [3].
194: Number 7 cannot be at (1,5); reason: discovered the number 7 at the same column at position (3,5); possiblities left: [2].
195: Number 7 cannot be at (4,5); reason: discovered the number 7 at the same column at position (3,5); possiblities left: [5].
196: Number 7 cannot be at (5,5); reason: discovered the number 7 at the same column at position (3,5); possiblities left: [9].
197: Number 7 cannot be at (6,5); reason: discovered the number 7 at the same column at position (3,5); possiblities left: [4].
198: Number 7 cannot be at (7,5); reason: discovered the number 7 at the same column at position (3,5); possiblities left: [6].
199: Number 7 cannot be at (8,5); reason: discovered the number 7 at the same column at position (3,5); possiblities left: [8].
200: Number 7 cannot be at (4,3); reason: discovered the number 7 at the same quadrant at position (3,5); possiblities left: [8].
201: Number 7 cannot be at (4,4); reason: discovered the number 7 at the same quadrant at position (3,5); possiblities left: [4].
202: Number 7 cannot be at (5,3); reason: discovered the number 7 at the same quadrant at position (3,5); possiblities left: [1].
203: Number 7 cannot be at (5,4); reason: discovered the number 7 at the same quadrant at position (3,5); possiblities left: [6].
204: Number 1 cannot be at (4,4); reason: discovered number 4 in its place; possiblities left: [4].
205: Number 2 cannot be at (4,4); reason: discovered number 4 in its place; possiblities left: [4].
206: Number 3 cannot be at (4,4); reason: discovered number 4 in its place; possiblities left: [4].
207: Number 5 cannot be at (4,4); reason: discovered number 4 in its place; possiblities left: [4].
208: Number 6 cannot be at (4,4); reason: discovered number 4 in its place; possiblities left: [4].
209: Number 8 cannot be at (4,4); reason: discovered number 4 in its place; possiblities left: [4].
210: Number 4 cannot be at (4,0); reason: discovered the number 4 at the same row at position (4,4); possiblities left: [3].
211: Number 4 cannot be at (4,1); reason: discovered the number 4 at the same row at position (4,4); possiblities left: [6].
212: Number 4 cannot be at (4,2); reason: discovered the number 4 at the same row at position (4,4); possiblities left: [9].
213: Number 4 cannot be at (4,3); reason: discovered the number 4 at the same row at position (4,4); possiblities left: [8].
214: Number 4 cannot be at (4,5); reason: discovered the number 4 at the same row at position (4,4); possiblities left: [5].
215: Number 4 cannot be at (4,6); reason: discovered the number 4 at the same row at position (4,4); possiblities left: [7].
216: Number 4 cannot be at (4,7); reason: discovered the number 4 at the same row at position (4,4); possiblities left: [2].
217: Number 4 cannot be at (4,8); reason: discovered the number 4 at the same row at position (4,4); possiblities left: [1].
218: Number 4 cannot be at (0,4); reason: discovered the number 4 at the same column at position (4,4); possiblities left: [5].
219: Number 4 cannot be at (1,4); reason: discovered the number 4 at the same column at position (4,4); possiblities left: [8].
220: Number 4 cannot be at (3,4); reason: discovered the number 4 at the same column at position (4,4); possiblities left: [3].
221: Number 4 cannot be at (5,4); reason: discovered the number 4 at the same column at position (4,4); possiblities left: [6].
222: Number 4 cannot be at (6,4); reason: discovered the number 4 at the same column at position (4,4); possiblities left: [7].
223: Number 4 cannot be at (7,4); reason: discovered the number 4 at the same column at position (4,4); possiblities left: [2].
224: Number 4 cannot be at (8,4); reason: discovered the number 4 at the same column at position (4,4); possiblities left: [1].
225: Number 4 cannot be at (3,3); reason: discovered the number 4 at the same quadrant at position (4,4); possiblities left: [2].
226: Number 4 cannot be at (5,3); reason: discovered the number 4 at the same quadrant at position (4,4); possiblities left: [1].
227: Number 4 cannot be at (5,5); reason: discovered the number 4 at the same quadrant at position (4,4); possiblities left: [9].
228: Number 1 cannot be at (4,5); reason: discovered number 5 in its place; possiblities left: [5].
229: Number 2 cannot be at (4,5); reason: discovered number 5 in its place; possiblities left: [5].
230: Number 3 cannot be at (4,5); reason: discovered number 5 in its place; possiblities left: [5].
231: Number 6 cannot be at (4,5); reason: discovered number 5 in its place; possiblities left: [5].
232: Number 8 cannot be at (4,5); reason: discovered number 5 in its place; possiblities left: [5].
233: Number 9 cannot be at (4,5); reason: discovered number 5 in its place; possiblities left: [5].
234: Number 5 cannot be at (4,3); reason: discovered the number 5 at the same row at position (4,5); possiblities left: [8].
235: Number 5 cannot be at (4,6); reason: discovered the number 5 at the same row at position (4,5); possiblities left: [7].
236: Number 5 cannot be at (4,7); reason: discovered the number 5 at the same row at position (4,5); possiblities left: [2].
237: Number 5 cannot be at (4,8); reason: discovered the number 5 at the same row at position (4,5); possiblities left: [1].
238: Number 5 cannot be at (0,5); reason: discovered the number 5 at the same column at position (4,5); possiblities left: [3].
239: Number 5 cannot be at (1,5); reason: discovered the number 5 at the same column at position (4,5); possiblities left: [2].
240: Number 5 cannot be at (2,5); reason: discovered the number 5 at the same column at position (4,5); possiblities left: [1].
241: Number 5 cannot be at (5,5); reason: discovered the number 5 at the same column at position (4,5); possiblities left: [9].
242: Number 5 cannot be at (6,5); reason: discovered the number 5 at the same column at position (4,5); possiblities left: [4].
243: Number 5 cannot be at (7,5); reason: discovered the number 5 at the same column at position (4,5); possiblities left: [6].
244: Number 5 cannot be at (8,5); reason: discovered the number 5 at the same column at position (4,5); possiblities left: [8].
245: Number 5 cannot be at (5,3); reason: discovered the number 5 at the same quadrant at position (4,5); possiblities left: [1].
246: Number 5 cannot be at (5,4); reason: discovered the number 5 at the same quadrant at position (4,5); possiblities left: [6].
247: Number 1 cannot be at (4,6); reason: discovered number 7 in its place; possiblities left: [7].
248: Number 3 cannot be at (4,6); reason: discovered number 7 in its place; possiblities left: [7].
249: Number 6 cannot be at (4,6); reason: discovered number 7 in its place; possiblities left: [7].
250: Number 8 cannot be at (4,6); reason: discovered number 7 in its place; possiblities left: [7].
251: Number 9 cannot be at (4,6); reason: discovered number 7 in its place; possiblities left: [7].
252: Number 7 cannot be at (4,0); reason: discovered the number 7 at the same row at position (4,6); possiblities left: [3].
253: Number 7 cannot be at (4,2); reason: discovered the number 7 at the same row at position (4,6); possiblities left: [9].
254: Number 7 cannot be at (4,7); reason: discovered the number 7 at the same row at position (4,6); possiblities left: [2].
255: Number 7 cannot be at (4,8); reason: discovered the number 7 at the same row at position (4,6); possiblities left: [1].
256: Number 7 cannot be at (0,6); reason: discovered the number 7 at the same column at position (4,6); possiblities left: [6].
257: Number 7 cannot be at (1,6); reason: discovered the number 7 at the same column at position (4,6); possiblities left: [1].
258: Number 7 cannot be at (5,6); reason: discovered the number 7 at the same column at position (4,6); possiblities left: [5].
259: Number 7 cannot be at (6,6); reason: discovered the number 7 at the same column at position (4,6); possiblities left: [3].
260: Number 7 cannot be at (7,6); reason: discovered the number 7 at the same column at position (4,6); possiblities left: [9].
261: Number 7 cannot be at (8,6); reason: discovered the number 7 at the same column at position (4,6); possiblities left: [4].
262: Number 7 cannot be at (5,7); reason: discovered the number 7 at the same quadrant at position (4,6); possiblities left: [3].
263: Number 7 cannot be at (5,8); reason: discovered the number 7 at the same quadrant at position (4,6); possiblities left: [4].
264: Number 2 cannot be at (5,3); reason: discovered number 1 in its place; possiblities left: [1].
265: Number 3 cannot be at (5,3); reason: discovered number 1 in its place; possiblities left: [1].
266: Number 8 cannot be at (5,3); reason: discovered number 1 in its place; possiblities left: [1].
267: Number 9 cannot be at (5,3); reason: discovered number 1 in its place; possiblities left: [1].
268: Number 1 cannot be at (5,0); reason: discovered the number 1 at the same row at position (5,3); possiblities left: [2].
269: Number 1 cannot be at (5,1); reason: discovered the number 1 at the same row at position (5,3); possiblities left: [8].
270: Number 1 cannot be at (5,2); reason: discovered the number 1 at the same row at position (5,3); possiblities left: [7].
271: Number 1 cannot be at (5,4); reason: discovered the number 1 at the same row at position (5,3); possiblities left: [6].
272: Number 1 cannot be at (5,5); reason: discovered the number 1 at the same row at position (5,3); possiblities left: [9].
273: Number 1 cannot be at (5,6); reason: discovered the number 1 at the same row at position (5,3); possiblities left: [5].
274: Number 1 cannot be at (5,7); reason: discovered the number 1 at the same row at position (5,3); possiblities left: [3].
275: Number 1 cannot be at (5,8); reason: discovered the number 1 at the same row at position (5,3); possiblities left: [4].
276: Number 1 cannot be at (0,3); reason: discovered the number 1 at the same column at position (5,3); possiblities left: [7].
277: Number 1 cannot be at (2,3); reason: discovered the number 1 at the same column at position (5,3); possiblities left: [4].
278: Number 1 cannot be at (3,3); reason: discovered the number 1 at the same column at position (5,3); possiblities left: [2].
279: Number 1 cannot be at (4,3); reason: discovered the number 1 at the same column at position (5,3); possiblities left: [8].
280: Number 1 cannot be at (6,3); reason: discovered the number 1 at the same column at position (5,3); possiblities left: [9].
281: Number 1 cannot be at (7,3); reason: discovered the number 1 at the same column at position (5,3); possiblities left: [5].
282: Number 1 cannot be at (8,3); reason: discovered the number 1 at the same column at position (5,3); possiblities left: [3].
283: Number 1 cannot be at (3,4); reason: discovered the number 1 at the same quadrant at position (5,3); possiblities left: [3].
284: Number 2 cannot be at (5,7); reason: discovered number 3 in its place; possiblities left: [3].
285: Number 4 cannot be at (5,7); reason: discovered number 3 in its place; possiblities left: [3].
286: Number 5 cannot be at (5,7); reason: discovered number 3 in its place; possiblities left: [3].
287: Number 6 cannot be at (5,7); reason: discovered number 3 in its place; possiblities left: [3].
288: Number 8 cannot be at (5,7); reason: discovered number 3 in its place; possiblities left: [3].
289: Number 9 cannot be at (5,7); reason: discovered number 3 in its place; possiblities left: [3].
290: Number 3 cannot be at (5,0); reason: discovered the number 3 at the same row at position (5,7); possiblities left: [2].
291: Number 3 cannot be at (5,1); reason: discovered the number 3 at the same row at position (5,7); possiblities left: [8].
292: Number 3 cannot be at (5,4); reason: discovered the number 3 at the same row at position (5,7); possiblities left: [6].
293: Number 3 cannot be at (5,5); reason: discovered the number 3 at the same row at position (5,7); possiblities left: [9].
294: Number 3 cannot be at (5,6); reason: discovered the number 3 at the same row at position (5,7); possiblities left: [5].
295: Number 3 cannot be at (5,8); reason: discovered the number 3 at the same row at position (5,7); possiblities left: [4].
